,alpha,beta,gamma,best,ave
91,0.8,0.3,-0.10000000000000009,"[0.4436310827732086, 0.575171172618866, -0.3968585729598999]",0.20731456081072488
92,0.8,0.4,-0.20000000000000018,"[0.4409676790237427, 0.5771251320838928, -0.40746402740478516]",0.2035429279009501
93,0.8,0.5,-0.30000000000000004,"[0.43483036756515503, 0.5764351487159729, -0.39820247888565063]",0.20435434579849243
94,0.8,0.6,-0.3999999999999999,"[0.4201089143753052, 0.5764018297195435, -0.41795358061790466]",0.19285238782564798
95,0.8,0.7,-0.5,"[0.36819422245025635, 0.5913364291191101, -0.41517767310142517]",0.1814509928226471
96,0.8,0.8,-0.6000000000000001,"[0.4107133150100708, 0.5727254152297974, -0.40332329273223877]",0.19337181250254312
97,0.8,0.9,-0.7000000000000002,"[0.41510093212127686, 0.5898532271385193, -0.4097290337085724]",0.19840837518374124
98,0.8,1.0,-0.8,"[0.43147584795951843, 0.5556856989860535, -0.3992706537246704]",0.19596363107363382
99,0.9,0.0,0.09999999999999998,"[0.42791610956192017, -0.07892252504825592, 0.45622575283050537]",0.2684064457813899
100,0.9,0.1,0.0,"[0.4287504553794861, 0.5690047740936279, -0.15177398920059204]",0.2819937467575073
101,0.9,0.2,-0.10000000000000009,"[0.4429545998573303, 0.5822060704231262, -0.3921073377132416]",0.211017777522405
102,0.9,0.3,-0.19999999999999996,"[0.42585065960884094, 0.5378528833389282, -0.3928298056125641]",0.1902912457784017
103,0.9,0.4,-0.30000000000000004,"[0.4376847743988037, 0.5677416920661926, -0.41201311349868774]",0.19780445098876953
104,0.9,0.5,-0.3999999999999999,"[0.41636377573013306, 0.5654058456420898, -0.4094802141189575]",0.19076313575108847
105,0.9,0.6,-0.5,"[0.43770498037338257, 0.5594202876091003, -0.3995078504085541]",0.1992058058579763
106,0.9,0.7,-0.6000000000000001,"[0.4240468144416809, 0.5664112567901611, -0.4062540829181671]",0.19473466277122498
107,0.9,0.8,-0.7000000000000002,"[0.4171966314315796, 0.5465160608291626, -0.40409421920776367]",0.18653949101765951
108,0.9,0.9,-0.8,"[0.4155929684638977, 0.5458369851112366, -0.39764490723609924]",0.18792834877967834
109,0.9,1.0,-0.8999999999999999,"[0.39844590425491333, 0.4983788728713989, -0.3920817971229553]",0.168247660001119
110,1.0,0.0,0.0,"[0.4458602964878082, 0.05009258911013603, 0.007984799332916737]",0.167979228310287
111,1.0,0.1,-0.10000000000000009,"[0.4308311939239502, 0.5362952351570129, -0.41153377294540405]",0.18519755204518637
112,1.0,0.2,-0.19999999999999996,"[0.41744378209114075, 0.578818678855896, -0.410432904958725]",0.1952765186627706
113,1.0,0.3,-0.30000000000000004,"[0.4466347098350525, 0.5747291445732117, -0.3901229202747345]",0.21041364471117655
114,1.0,0.4,-0.3999999999999999,"[0.43173691630363464, 0.5521097183227539, -0.39681583642959595]",0.1956769327322642
115,1.0,0.5,-0.5,"[0.4161441922187805, 0.5669731497764587, -0.39171895384788513]",0.19713279604911804
116,1.0,0.6,-0.6000000000000001,"[0.44140517711639404, 0.569697380065918, -0.4068984389305115]",0.2014013727506002
117,1.0,0.7,-0.7,"[0.40487974882125854, 0.5396518707275391, -0.3903049826622009]",0.18474221229553223
118,1.0,0.8,-0.8,"[0.42799773812294006, 0.5621776580810547, -0.40112221240997314]",0.19635106126467386
119,1.0,0.9,-0.8999999999999999,"[0.4251752495765686, 0.5754979848861694, -0.4039320945739746]",0.19891371329625449
120,1.0,1.0,-1.0,"[0.40620657801628113, 0.5804134607315063, -0.418974369764328]",0.18921522299448648
